word,n,Romance
love,262,1
girl,86,1
time,86,0
yeah,66,0
baby,60,1
home,52,0
day,51,0
feel,51,1
tit,48,1
night,46,0
mind,44,0
gonna,42,0
mine,41,1
hey,36,0
eyes,33,0
leave,33,0
world,33,0
boy,30,1
hold,30,1
cry,29,1
hear,29,0
people,29,0
TRUE,29,0
head,28,0
life,28,0
tonight,28,0
round,27,0
sun,27,0
waiting,27,0
dance,26,1
heart,26,1
lonely,25,0
told,25,0
la,24,0
blue,23,0
roll,23,0
feeling,22,1
money,22,0
sing,22,0
ah,21,0
play,21,0
till,21,0
happy,20,1
honey,20,1
run,20,0
hand,19,0
hide,19,0
listen,18,0
morning,18,0
sad,18,0
standing,18,0
wrong,18,0
break,17,0
free,17,0
friend,17,1
word,17,0
call,16,0
door,16,0
fine,16,0
words,16,0
darling,15,1
kiss,15,1
ooh,15,0
rain,15,0
stay,15,0
treat,15,0
buy,14,0
care,14,1
coming,14,0
dead,14,0
hard,14,0
lost,14,0
loving,14,1
makes,14,0
remember,14,0
song,14,0
stop,14,0
sweet,14,1
tight,14,0
understand,14,0
bye,13,0
change,13,0
changed,13,0
easy,13,0
found,13,0
late,13,0
mother,13,0
pretty,13,1
rock,13,0
sitting,13,0
sky,13,0
start,13,0
walk,13,0
bad,12,0
dream,12,0
fool,12,0
forever,12,0
lose,12,0
lot,12,0
miss,12,0
smile,12,1
tears,12,0
band,11,0
fun,11,0
glad,11,0
left,11,0
living,11,0
looked,11,0
music,11,0
road,11,0
rocky,11,0
talk,11,0
thinking,11,0
wait,11,0
alright,10,0
bag,10,0
hair,10,0
hate,10,0
heard,10,0
hope,10,0
inside,10,0
loves,10,1
rocking,10,0
wanna,10,0
yellow,10,0
bed,9,0
black,9,0
born,9,0
children,9,0
cried,9,0
dark,9,0
die,9,0
doo,9,0
eye,9,0
friends,9,1
hurt,9,0
laugh,9,0
letter,9,0
lover,9,1
mystery,9,0
sit,9,0
someday,9,0
stand,9,0
talking,9,0
telling,9,0
whoa,9,0
woo,9,0
beneath,8,0
birthday,8,0
boys,8,0
feet,8,0
gotta,8,0
hands,8,0
julia,8,0
leaving,8,0
lie,8,0
light,8,0
loved,8,1
mi,8,0
misery,8,0
mister,8,0
real,8,0
ring,8,1
sadie,8,0
send,8,0
sexy,8,1
sound,8,0
tour,8,0
twist,8,0
admit,7,0
answer,7,0
belong,7,0
bom,7,0
chance,7,0
child,7,0
clothes,7,0
days,7,0
dirty,7,0
driving,7,0
everybody's,7,0
fell,7,0
fill,7,0
fly,7,0
garden,7,0
girls,7,1
green,7,0
ha,7,0
half,7,0
hearts,7,1
lips,7,1
mad,7,0
meet,7,0
news,7,0
pain,7,0
past,7,0
pay,7,0
phone,7,0
reason,7,0
sea,7,0
shake,7,0
shines,7,0
times,7,0
woman,7,1
writer,7,0
yesterday,7,0
ago,6,0
anymore,6,0
bird,6,0
blues,6,0
bright,6,0
brown,6,0
car,6,0
carry,6,0
chains,6,0
close,6,0
da,6,0
dear,6,0
dog,6,0
feels,6,0
goodbye,6,0
grow,6,0
holding,6,0
jude,6,0
king,6,0
knee,6,0
learn,6,0
lies,6,0
lives,6,0
lizzy,6,0
lovely,6,0
lucky,6,0
matter,6,0
met,6,0
molly,6,0
pick,6,0
pie,6,0
pretend,6,0
rita,6,0
running,6,0
save,6,0
shine,6,0
singing,6,0
sleep,6,0
sleeping,6,0
submarine,6,0
takes,6,0
ten,6,0
tired,6,0
tomorrow,6,0
tree,6,0
trust,6,0
wife,6,1
wind,6,0
window,6,0
act,5,0
baby's,5,0
begins,5,0
bill,5,0
breaks,5,0
calls,5,0
caught,5,0
cold,5,0
